Question,Answer
How do I use API methods with my bot user token?,"When a Slack App is approved that contains a bot user, you're awarded two tokens. The bot user token is for performing certain actions directly as the bot user, like posting a message or connecting to the real time messaging API.If you want to make Web API calls more generally, based on the scopes you've negotiated, you'll want to use the broader token you were awarded at approval time."
Why does Slack never reach my slash command URL?,"Typically, if Slack cannot reach your slash command URL it's because it's either inaccessible, does not have a valid, verifiable SSL certificate, or because our request is timing out for some reason.Slack invokes slash command URLs from its servers rather than from a Slack client app like Slack for Mac. This means that the URL we're trying to reach must be accessible to Slack's servers.To determine whether your certificate is valid, consider using this tool provided by SSL Labs."
How do I validate a slash command's origin?,Keep track of the validation tokens and team IDs Slack gives you when commands are created and teams approve your app. Always validate that the token field in an incoming slash command request has been issued to you by Slack and scope your data for that workspace.
"Why can't I override the channel, icon, or user name of my incoming webhook?","You won't be able to override any of these fields when using an incoming webhook attached to a Slack app. Instead, those values will be provided from your Slack app configuration and any configuration provided by the team."
Can I use a self-signed certificate for my action URL?,"No, SSL certificates must be signed by a reputable certificate authority.You may want to consider using one of the following low-cost providers:
Let's Encrypt
CloudFlare
"
Can I send JSON when using HTTP POST?,"Yes, the Web API accepts both application/x-www-form-urlencoded POSTs as well as application/json.See this documentation on POST bodies for more information."
How is the API rate limited?,"Slack rate limits all aspects of platform use with many factors. Rate limits are currently unpublished. Review our rate limiting documentation for more detail.The guiding spirit of Slack's rate limiting is to ensure that teams are able to communicate effortlessly and without distraction.Because the limits are unpublished, you won't know that you're about to hit a rate limit in advance. You will receive a HTTP 429 Too Many Requests rate limited message in response to a request and will then need to wait for the next rate limiting window to open.The next rate limit is indicated by a HTTP header called Retry-After, presented in seconds to wait before attempting another request. If the value were 10, then you should wait 10 seconds or more before retrying that request.You may find that you can't perform certain bursty actions, like attempting to message every member of a large workspace simultaneously. In some cases, hitting rate limits may be a symptom that there are better ways to to accomplish your goal. Some times you just need to work slower.Bot users associated with many workspaces may hit rate limits while using rtm.start too quickly. Queue up your connection requests or throttle otherwise after your service restarts.Finally, developers working with the Real Time Messaging API have special considerations worth reading in context.For more information, consult our rate limiting documentation."
How do I work with files?,"The Real Time Messaging API and other API methods reference file objects that contain a suite of details about the content type of the file and absolute URLs where those files can be retrieved or used for display.As of January 4th, 2016, applications must provide authentication to access the actual files that file objects reference. There's a blog post discussing this change of behavior.File objects contain url_private and url_private_download fields, as well as fields for private thumbnail URLs as applicable.To retrieve these URLs, you must provide a HTTP Authentication header containing a bearer token that's been awarded the files:read or read scopes.For example, to retrieve a thumb_360 field containing https://files.slack.com/files-tmb/Z0CHK-THSCH5-5SZ0UT/cheese.jpg and your bearer token was VALID_TOKEN, you'd need to send a request like this:GET https://files.slack.com/files-tmb/Z0CHK-THSCH5-5SZ0UT/cheese.jpg
Authorization: VALID_TOKEN
"
How do I find a channel's ID if I only have its #name?,Use conversations.list to retrieve a list of channels. The list includes each channel's name and id fields.Many developers keep the list of channels in memory for swifter lookups. Poll the method occasionally to refresh your inventory or keep keep it updated with the Events API.There are currently no methods to lookup channels by name.
How do I find a channel's name if I only have its ID?,"You can use similar instructions to the question above, or you can use dedicated methods to look up a channel by its ID.Use conversations.info to obtain a specific channel's information, including its name."
Do channel IDs stay the same when the name of the channel changes?,Channel IDs remain the same even when names are changed.
Do channel IDs stay the same when moving between public and private?,"As of September 2018, yes, channel IDs remain static even when a channel is converted between public and private.Use the Conversations API to safely work with channels that have transitioned between public and private."
How do I retrieve a single message?,Use conversations.history and a token with the channels:history scope to retrieve a specific message in a public channel.Learn more about this approach.
How do I re-enable event subscriptions for my app?,"If your app's subscriptions are disabled due to exceeding Events API failure limits, manually re-enable them by visiting your application's settings. If your app is part of the directory, use your Live App Settings instead of your development app."
When should I use the Events API and when should I use Socket Mode or the RTM API?,"Choose the Events API if:
You want to precisely scope the data you receive to just what your app needs
You prefer or must use an inbound request model due to
a) your hosting service not being able to maintain an outbound websocket connection
b) you prefer to scale your application on an inbound request model instead of maintaining multiple long-lived websocket connections
You're converting a outgoing webhook integration into something installable as a Slack app.
You find the retry behavior reassuring for redundancy reasons
Choose Socket Mode if:
You're building an on-premise integration or have no ability to receive external HTTP requests
You're working on a distributed or mobile application without a server backend
You just prefer working with WebSockets. That's cool.
You want data feed redundancy by opening additional WebSocket connections
You want messages to be delivered to you in real time.
Finally, choose the [Real Time Messaging API] only if:
You need events that just aren't supported by the Events API
You need compatibility with today's existing tools
Sending user_typing events is important for your app or bot user's sense of self and agency
Receiving events in absolute order is important to you.
"
How do I make my bot appear active and present?,"The answer depends on whether you're using the Events API with or without the RTM API.With the Events API, you must toggle your presence by managing your app's bot user config.With the RTM API, your bot is marked active while connected to a websocket.See bot presence for further informationo."
How do I connect to a websocket?,"The first step is making a typical HTTP request to the rtm.connect method. Within that response, you'll find a url field beginning with the URI protocol wss://.Then, use a Websocket client to open a long-lived connection to that time-sensitive URL. While the connection is open, you'll be streamed events associated with the workspace you're connecting on behalf of and can in turn send messages.Typical HTTP client libraries and tools do not support connecting to websockets directly. You will need to find a client library for your preferred programming environment."
How does my app get approved for the directory?,"
Create a Slack app record to package your integration points and obtain your app's platform credentials for use in authentication and the ""Add to Slack"" button.
Review this checklist to make sure your app is prepared for approval process.
Submit your application for review.
Slack will review your application and approve it if it meets our criteria.
Please be patient as our team regularly reviews submissions. To help the process go as smoothly as possible, we strongly recommend making sure you've followed the checklist before submitting."
What happens if I make changes to an application that has been approved for the directory?,"If you need to update your approved app to request new OAuth scopes, or include new features, find your application's settings page at https://api.slack.com/apps.Any changes you make here will not affect the published app.Once you're ready to apply these changes to the published app, simply re-submit it for review using the process described above."
What kind of changes to my app will require being reviewed again?,"If you've submitted your app to the directory but need to make changes to how your app or bot is described, or changes to the integration types packed into your app, or to request additional permissions, you'll need your app to be reviewed again.Use the beta application corresponding to your submitted Slack app to make modifications to any of these features:
Requesting new OAuth permission scopes
Changing your message button action URLs
Changing your slash command execution URLs & other details about your slash command
Changing your Events API subscription URLs or subscriptions
Changing your bot user's username
Changing your app's OAuth configuration
Changing details about how your application is presented in the directory

Application description
Contact information
Application icon
Policy & Website URLs
etc.


Your client secret and signing secret may be regenerated as needed, without requesting further review."
Do I need to submit my Slack App to the directory if I don't want to?,"No, only submit your app to the directory if you want your app to be discoverable and installable from the directory. If you don't submit your app, we won't display it there but it will be installable by any workspace you give the authorization URL to."
Who moved my cheese?,It was @colonel_mustard in the #conservatory with the :fork_and_knife:. A custom and internal investigation will follow this Slack app fact.
How do I avoid long response times and timeouts while working on behalf of large workspaces?,"
If you're using the RTM API, use rtm.connect to initiate your websocket connection instead of rtm.start. rtm.connect returns just the data you need to open your connection.
If you must rtm.start, use the no_latest parameter to remove the latest field from each channel object.
If using channels.list, use the exclude_members parameter to trim long membership lists from each channel object.
"
"Why is an ID for a workspace is called team_id, not workspace_id?","Our bad. We used to overuse the term, team which could mean two different things — the people you talk to, as well as the Slack workspace, where the place you do work!Now we call workspace for all the Slack workspaces, however our API remains the same as before. Wherever you see some objects contains team_id, it really is an ID for the workspace! In the API world, we use the two terms interchangeably."
How can I test basic Slack messaging behavior from the command line?,"There are some community-authored open source tools that provide an IRC-like experience on top of Slack APIs. Although they are not directly supported or built by Slack, you can leverage these resources to build your own tools.
slack-weechat is a WeeChat plugin written in Python and uses the RTM API.
slack-term is written in Go and uses the RTM API.
"
How do I build a bot using Slack APIs?,"Bots and integrations with Slack can be built a few different ways.One common pattern is:
Create a Slack app to contain all the pieces of your bot integration at api.slack.com/apps.
Using app management, add the bot user and event subscriptions features to your app and configure them.
Under Event Subscriptions, subscribe to ""Bot Events"" like app_mention, messages.mpim, and messages.im to receive events whenever users send your bot messages in channels and direct messages. Subscribe to other events your bot may be interested in.
Install your Slack app to your workspace through app management to activate subscriptions and receive your bot user token.
Use the bot user token to send messages to chat.postMessage to post new messages or reply to users.
The RTM API may be used instead of the Events API to receive messages (and many more events) over a websocket. Simple messages can also be sent via the RTM API without needing to use chat.postMessage.To build a bot that will stand the test of time, consider the upcoming workspace token model.See these open source CLI apps for inspiration."
How do I build an IRC or XMPP gateway for myself using the API?,"Building your own gateway for personal use is an undertaking.The part of the gateway that reads from Slack should either connect to the RTM API over a websocket or listen for events using the Events API. Use the Web API to post messages and perform channel operations. The XMPP or IRC part of the gateway is its own adventure to explore.Choose the token type that works best for you. Bot user tokens work well if your user is a bot but poorly if your user is you. Legacy testing tokens may work in a pinch, but properly scoped user tokens work best, as they model your own relationship to Slack. The client scope is useful but overly broad and not suitable for an app distributed on the App Directory.Using your user token to post as yourself when posting messages with chat.postMessage is best.Apps operating as a gateway should never distribute their API keys, secrets, or tokens.Consult these open source CLI apps for some inspiration."
